,Strain,SOK5,Orientation,Zone,oX,dX,oY,dY,Normalized SOK5,Relative SOK5 (mean),Relative SOK5 (median),Normalized strain,Relative strain (mean),Relative strain (median)
0,0.10399533861667172,0.5359485332987352,anticlinal,boundary,868.0,916.0,1319.0,1292.0,0.5133158930358945,1.3294913890695566,1.3805975358593139,0.517908935344982,1.2742018526429424,1.2985721806115544
1,0.07344172768696103,0.6412662352264451,periclinal,boundary,916.0,963.0,1292.0,1333.0,0.628664572594716,1.590745910968656,1.651894779400264,0.328282609996673,0.8998440384425295,0.9170544155048126
2,0.06811584343347613,0.42562305336412903,periclinal,boundary,963.0,995.0,1333.0,1377.0,0.39248246998147657,1.0558144099289717,1.096400311169245,0.29522832182948633,0.8345886945682568,0.8505510008255713
3,0.12020942309445545,0.2949973560631296,anticlinal,boundary,995.0,975.0,1377.0,1388.0,0.24941533668547172,0.7317800503534699,0.7599099494853129,0.6185391772330002,1.4728647615321024,1.5010347074613895
4,0.12075234936105765,0.2739028584059401,anticlinal,ground,975.0,931.0,1388.0,1402.0,0.2263116949787468,0.6794523523572348,0.7055707551853391,0.6219087662844448,1.4795169602167282,1.5078141358022275
5,0.05731554785994479,0.5792186165372546,periclinal,ground,931.0,868.0,1402.0,1319.0,0.560707232522104,1.4368285669807594,1.4920607950790743,0.22819793491397988,0.7022581804130885,0.7156895391415423
6,0.09898348828981642,0.7341274062364299,anticlinal,ground,815.0,868.0,1338.0,1319.0,0.7303702997633544,1.8211003565285906,1.8911041360978318,0.48680365083822885,1.2127942063330683,1.2359900543892175
7,0.11257027244451388,0.410241275552428,anticlinal,ground,931.0,904.0,1402.0,1426.0,0.37563565574824587,1.0176578708609956,1.0567770204527596,0.5711279540599662,1.3792661441300949,1.4056459270653756
8,0.11191569042507561,0.5775383069686181,periclinal,ground,904.0,858.0,1426.0,1414.0,0.5588668819785143,1.4326603363323358,1.4877323360838384,0.5670653906113869,1.3712458844437505,1.3974722722489394
9,0.08036136871407122,0.5166820470099134,periclinal,ground,858.0,820.0,1414.0,1361.0,0.49221437152074454,1.2816983156172261,1.3309672787685862,0.3712283064552333,0.9846268713430268,1.0034588010969872
10,0.10125155287253576,0.5884303990731576,periclinal,ground,820.0,815.0,1361.0,1338.0,0.5707963906830822,1.459679614793289,1.5157902457255057,0.5008800476825539,1.240583645087312,1.2643109927132505
11,0.0916015943726806,0.7431672558478836,anticlinal,provascular,1014.0,989.0,1298.0,1312.0,0.7402711492597405,1.8435249019283864,1.9143906894190912,0.4409890523333983,1.122347624492522,1.1438135952466393
12,0.043451675512895825,0.33428569369265065,periclinal,provascular,989.0,898.0,1312.0,1230.0,0.29244568946260574,0.8292399804102072,0.8611162757448002,0.1421539260956145,0.5323912222936495,0.5425737131352653
13,0.07678286652628566,0.3713512484892549,anticlinal,provascular,898.0,953.0,1230.0,1219.0,0.3330415506012975,0.9211860029692495,0.95659673783784,0.3490188785194732,0.9407813088590156,0.958774650334763
14,0.07588456373743398,0.4207684787830096,anticlinal,provascular,953.0,1005.0,1219.0,1238.0,0.3871655217619237,1.0437719940957395,1.08389498036241,0.3434436992946033,0.9297748628681215,0.9475576955473147
15,0.050421828996821766,0.5530450693784742,periclinal,provascular,1005.0,1014.0,1238.0,1298.0,0.5320407875762375,1.3719016133517836,1.4246380250423696,0.1854131204118362,0.6177929585691666,0.6296088392208868
16,0.08704241770098069,0.39845129690467823,anticlinal,ground,733.0,820.0,1405.0,1361.0,0.36272274135539184,0.9884112657942359,1.026406164936593,0.4126932178129849,1.0664863576426709,1.0868839282912246
17,0.10011411345639296,0.39557461822857215,anticlinal,ground,858.0,790.0,1414.0,1471.0,0.35957207360694804,0.9812752829686773,1.0189958722593344,0.49382070346017437,1.226647179947653,1.2501079793610992
18,0.11751478873199085,0.0945086105284905,anticlinal,ground,708.0,746.0,1362.0,1346.0,0.029831053696663883,0.23444113769133265,0.24345314280465355,0.601815340122979,1.4398487807918148,1.4673872645417168
19,0.09736676842681395,0.4356175734891211,anticlinal,ground,746.0,797.0,1346.0,1322.0,0.4034289175220166,1.080607142100986,1.1221460852489538,0.4767697256356053,1.1929853622825126,1.21580234726827
20,0.1005238895219329,0.5100998826507853,periclinal,ground,797.0,815.0,1322.0,1338.0,0.4850052893477808,1.265370384308151,1.3140116956664156,0.4963639161004999,1.2316679571173332,1.2552247836916475
21,0.0817242415197881,0.5623846514016112,anticlinal,provascular,1039.0,1005.0,1232.0,1238.0,0.5422699174782518,1.3950696847351387,1.4486966857643904,0.3796867686206308,1.0013254568475385,1.0204767630052551
22,0.03377057328345946,0.5220545936556804,periclinal,provascular,953.0,956.0,1219.0,1159.0,0.4980986260203611,1.2950256298258471,1.3448068999254574,0.0820696419397214,0.4137736134617478,0.4216874291918888
23,0.07407520398208406,0.9689326155981448,anticlinal,provascular,956.0,1005.0,1159.0,1158.0,0.987539515931755,2.4035658071450428,2.495959776725217,0.33221418398692215,0.907605700451501,0.9249645267161989
24,0.06988127381011996,0.9068785676310734,anticlinal,provascular,1005.0,1049.0,1158.0,1162.0,0.919575134225111,2.249632514481015,2.336109230654814,0.3061851961495594,0.8562196127089577,0.8725956309446827
25,0.03554533924370049,0.5810316450600334,periclinal,provascular,1049.0,1039.0,1162.0,1232.0,0.5626929428279418,1.441326024589862,1.4967311366426286,0.09308445613526749,0.4355189157476737,0.4438486311622999
26,0.08523181684751124,0.3723361496127925,periclinal,ground,797.0,794.0,1322.0,1266.0,0.33412025856792255,0.9236291807773289,0.9591338323156472,0.40145599981915175,1.044301988683678,1.064275262078083
27,0.04966696115547969,0.30415318524505675,periclinal,ground,794.0,868.0,1266.0,1319.0,0.2594432122189346,0.7544922984535668,0.7834952649063958,0.1807281483079951,0.6085439478468296,0.6201829323307873
28,0.056394374974834606,0.1584807826735873,periclinal,ground,746.0,735.0,1346.0,1211.0,0.09989625119320203,0.3931325916701326,0.40824475569234,0.22248081592546498,0.6909715187951256,0.7041870093354035
29,0.16932197853893247,0.2660623606865726,anticlinal,ground,735.0,787.0,1211.0,1220.0,0.2177244295669572,0.6600029583272516,0.6853737191665171,0.9233487605855576,2.0746158589159,2.1142948695732735
30,0.11921461707458068,0.2882523615999588,periclinal,ground,787.0,794.0,1220.0,1266.0,0.24202791566585674,0.7150481973844666,0.7425349178233682,0.6123650654261437,1.460675910662381,1.4886127331719843
31,0.17434205161819888,0.09430642176116194,anticlinal,ground,670.0,726.0,1213.0,1207.0,0.029609607473416597,0.23393958164923398,0.24293230676050181,0.9545050783507872,2.1361242544179535,2.1769796719123593
32,0.18167243748521644,0.21466948027768273,anticlinal,ground,726.0,735.0,1207.0,1211.0,0.16143663762521018,0.5325161051726116,0.5529862236424331,1.0,2.2259397343864378,2.2685129587565362
33,0.1310113291944731,0.29448656278884683,anticlinal,boundary,787.0,842.0,1220.0,1219.0,0.24885589293919166,0.7305129599192937,0.7585941516204174,0.6855795596354616,1.6052150086470347,1.6359162795168933
34,0.09699416228164075,0.41210736942313303,periclinal,boundary,842.0,874.0,1219.0,1242.0,0.3776794856076021,1.0222869641006536,1.061584057769795,0.47445720243584544,1.1884200091926411,1.2111496774382275
35,0.05265749733015596,0.4680560509463604,periclinal,boundary,874.0,916.0,1242.0,1292.0,0.4389569956428198,1.1610750858949246,1.2057072469314876,0.19928845487632973,0.6451854625998512,0.6575252510654901
36,0.0394508983246151,0.2709781498196164,periclinal,provascular,898.0,876.0,1230.0,1164.0,0.2231084227144284,0.6721972249719196,0.6980367379868362,0.11732371278641474,0.48337173956366414,0.49261668595853175
37,0.07447077968008607,0.7277683291660662,anticlinal,provascular,876.0,933.0,1164.0,1158.0,0.7234055528133809,1.805325822814612,1.8747232234015188,0.33466926421235865,0.9124524877590802,0.9299040134622814
38,0.07194951225516096,0.9803095082682095,anticlinal,provascular,933.0,956.0,1158.0,1159.0,1.0,2.4317876976801713,2.525266527299478,0.31902140255342676,0.8815606836976541,0.898421374130166
39,0.09312146046328845,0.2928735737470596,anticlinal,boundary,898.0,874.0,1230.0,1242.0,0.2470892748616275,0.7265117267625936,0.7544391095630147,0.4504218693724872,1.1409697686595803,1.1627919057148912
40,0.06023771753194424,0.5309349008673602,periclinal,boundary,842.0,856.0,1219.0,1164.0,0.5078247375115427,1.3170544091520138,1.3676824737770328,0.24633393521261215,0.7380620352716544,0.7521781769358996
41,0.08928916980836071,0.434316653675322,anticlinal,boundary,856.0,876.0,1164.0,1164.0,0.4020040916856474,1.077380038036216,1.1187949300956277,0.42663734203028825,1.0940146655046747,1.1149387413451857
42,0.07682051649080887,0.8447893137444997,anticlinal,provascular,1072.0,1049.0,1162.0,1162.0,0.8515721934134644,2.095611888866313,2.176167994522413,0.3492525472808663,0.9412426146750796,0.9592447790653502
43,0.020547072251305563,0.7404014771178723,periclinal,provascular,1005.0,1011.0,1158.0,1100.0,0.7372419441155031,1.8366640211214376,1.9072660737850424,0.0,0.2517527985124978,0.2565678113411479
44,0.068627434447052,0.7244512841215175,anticlinal,provascular,1011.0,1074.0,1100.0,1100.0,0.7197725760305372,1.7970974528315093,1.8661785517953635,0.29840343341314773,0.8408569583766632,0.8569391511688214
45,0.03463682204333508,0.42104404541349855,periclinal,provascular,1074.0,1072.0,1100.0,1162.0,0.38746733471810824,1.0444555736553196,1.0846048369762094,0.08744588272352387,0.42438731778124333,0.4325041307481969
46,0.03875353465165449,0.8441719628465444,periclinal,provascular,933.0,935.0,1158.0,1090.0,0.8508960429696152,2.0940804681199694,2.174577705389179,0.11299563153149737,0.4748272980928054,0.4839088238800813
47,0.0642055367592212,0.8593724432612599,anticlinal,provascular,935.0,1011.0,1090.0,1100.0,0.8675442921471435,2.131787274959611,2.2137339760020827,0.27095959996450736,0.7866777009120571,0.8017236636353532
48,0.0530586449210825,0.11253909311495609,anticlinal,ground,972.0,1024.0,1604.0,1564.0,0.04957884841767573,0.27916814009944085,0.2898994679322074,0.20177811620522215,0.6501005194701012,0.662534313094863
49,0.029473686981468777,0.07536901065320614,periclinal,ground,1024.0,1060.0,1564.0,1623.0,0.008868503883208808,0.18696282280947465,0.19414974372170066,0.055401672587082486,0.36112605675948145,0.36803293766142464
50,0.06806032188704268,0.20330439164638478,periclinal,ground,1024.0,1031.0,1564.0,1496.0,0.14898908187063223,0.5043234961205391,0.5237098801424,0.2948837358212384,0.8339084173724888,0.8498577126784097
51,0.11141852938427273,0.16818104451556593,anticlinal,ground,1031.0,1057.0,1496.0,1496.0,0.11052041383981082,0.417195377160474,0.43323252366662246,0.56397983645248,1.365154423733305,1.3912643065318393
52,0.10009810402642162,0.17766036513180833,anticlinal,ground,1057.0,1114.0,1496.0,1497.0,0.12090259172809024,0.4407100886495698,0.4576511494698392,0.493721343375261,1.2264510245660698,1.249908072320411
53,0.04699140918093928,0.2449038200669497,periclinal,boundary,1057.0,1072.0,1496.0,1369.0,0.1945506451300311,0.6075163932723427,0.6308695508986506,0.1641227431276486,0.5757617738748961,0.5867737679573228
54,0.1182266895135345,0.39018394511023896,anticlinal,boundary,1072.0,1127.0,1369.0,1366.0,0.35366796618007146,0.967903003641778,1.0051095575082023,0.6062336437247127,1.4485713380410823,1.476276649033033
55,0.04117196644345082,0.16824118715844597,anticlinal,ground,908.0,964.0,1576.0,1494.0,0.11058628476477794,0.41734456895941924,0.4333874504541802,0.1280052595207678,0.5044591095815509,0.5141073720776042
56,0.08615232319553247,0.26205953444547425,anticlinal,ground,964.0,1016.0,1494.0,1484.0,0.2133403544023565,0.6500734171701429,0.6750624827294673,0.40716898204690277,1.055580483562584,1.0757694689484771
57,0.09761816013284008,0.26170234414150867,anticlinal,ground,1016.0,1031.0,1484.0,1496.0,0.21294914353125408,0.6491873592674213,0.6741423644292035,0.47832994990979816,1.1960655366616573,1.2189414329256119
58,0.07845360193623581,0.2671916329069038,anticlinal,ground,858.0,920.0,1536.0,1478.0,0.2189612592460464,0.6628042677806147,0.6882827120041459,0.35938804297427335,0.9612519778616103,0.9796368404423501
59,0.08140809585945842,0.34964632645578814,anticlinal,ground,920.0,964.0,1478.0,1494.0,0.3092693446885056,0.8673440663819622,0.9006850970484064,0.3777246588071279,0.9974518852869712,1.016529105687282
60,0.09090324133361243,0.4284233303989382,periclinal,ground,904.0,920.0,1426.0,1478.0,0.39554945921929574,1.0627608683545102,1.1036137940575845,0.43665483072865996,1.1137910608232648,1.135093379121163
61,0.04716888904390716,0.35116152982419535,periclinal,ground,975.0,1014.0,1388.0,1420.0,0.310928863502625,0.8711027292121182,0.9045882442850883,0.1652242448229914,0.5779363441316849,0.5889899289481375
62,0.04970293728727916,0.28471545439178453,periclinal,ground,1014.0,1016.0,1420.0,1484.0,0.23815413596199445,0.7062744301567379,0.7334238836982936,0.18095142868192782,0.6089847450440847,0.6206321601956343
63,0.11541899227037612,0.38820041277644984,anticlinal,boundary,995.0,1053.0,1377.0,1365.0,0.3514955124388965,0.9629825887252886,1.0,0.5888080990931622,1.414170055478987,1.4412174090705148
64,0.11008085660141785,0.5621262354678116,anticlinal,boundary,1053.0,1072.0,1365.0,1369.0,0.5419868887357409,1.3944286497524132,1.4480310091569097,0.5556777743847668,1.3487646012584114,1.3745610130411625
65,0.0407712032668608,0.4514858832874508,periclinal,boundary,1053.0,1052.0,1365.0,1303.0,0.4208086034491175,1.1199705882627242,1.1630226770197813,0.1255179840008134,0.49954876274413784,0.5091031101649468
66,0.0917238256463442,0.5095294493554143,anticlinal,provascular,1052.0,1129.0,1303.0,1310.0,0.48438052517050517,1.2639553488950181,1.3125422657621784,0.4417476620872763,1.1238452619580543,1.145339876459736
67,0.0771447684102133,0.5245229801096705,anticlinal,boundary,963.0,989.0,1333.0,1312.0,0.5008021137807005,1.3011487896659852,1.3511654363225103,0.3512649673547243,0.9452155080943805,0.9632936578675102
68,0.09002381236024434,0.6018867924845751,anticlinal,provascular,1014.0,1052.0,1298.0,1303.0,0.5855344374047666,1.4930599826026731,1.5504537673719045,0.4311967889604294,1.10301586606897,1.124112098471181
69,0.07046026134250451,0.6615463521039333,anticlinal,provascular,1039.0,1129.0,1232.0,1235.0,0.6508762678776469,1.6410534294760648,1.7041361377554567,0.3097785939460144,0.8633136516941174,0.8798253502039936
70,0.07577350528202717,0.570012389330387,anticlinal,provascular,1072.0,1130.0,1162.0,1163.0,0.5506241588071118,1.4139912998983881,1.4683456548992284,0.34275443193284694,0.9284141202472178,0.9461709274235572
71,0.09056224964391782,0.597387847953787,periclinal,boundary,856.0,841.0,1164.0,1131.0,0.5806069911964264,1.4818997542561754,1.5388645356691064,0.4345385178241115,1.109613063534884,1.1308354736424442
72,0.09286628291752877,0.5082462207655299,periclinal,boundary,841.0,835.0,1131.0,1071.0,0.4829750755575152,1.2607721302565444,1.3092366830073672,0.4488381488615097,1.137843208316733,1.159605546917968
